S.No, Part Number, Manufacturer, Reference designator, Part Value, Qty, In Stock, SKU, Price, Total Price, Product Url,Seller
1,"RC0603JR-0710KL",Yageo,"r1,r5,r6,r7,r8,r9,r20,r21",10000 ohm, 8, 8603, 2879583, 0.00240, 0.0192, https://octopart.com/click/track?country=IN&ak=17001198&sig=0922bfb&sid=2454&ppid=1160844&vpid=19679401&ct=offers, Future Electronics
2,"RC0603JR-071KL",Yageo,"r2,r16,r19",1000 ohm, 3, 5774, RC0603JR-071KL, 0.00170, 0.0051, https://octopart.com/click/track?country=IN&ak=17001198&sig=0eb00c7&sid=13811&ppid=55402888&vpid=189264391&ct=offers, Area51
3,"na",Na,"r3",1600.5 ohm, 1, na, na, na, 0, na, na
4,"RC0603JR-074K7L",Yageo,"r4",4700 ohm, 1, 29513, RC0603JR-074K7L, 0.01500, 0.015, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e0dcd2&sid=2412&ppid=55458509&vpid=195934255&ct=offers, Quest
5,"STM32F429VGT6",ST Micro,"u1",STM32F429VGT6 , 1, 78, STM32F429VGT6, 13.13800, 13.138, https://octopart.com/click/track?country=IN&ak=17001198&sig=0c63fdd&sid=1106&ppid=30038951&vpid=104912457&ct=offers, Arrow
6,"c0603c105k3ractu",Kemet,"c1,c12,c17,c20,c21,c22,c23,c24,c25,c26,c31",1.0E-6 F, 11, 143, C0603C105K3RACTU**MULT1, 0.20540, 2.2594, https://octopart.com/click/track?country=IN&ak=17001198&sig=0f39295&sid=1106&ppid=22544255&vpid=52749042&ct=offers, Arrow
7,"06035C104K4Z2A",Avx,"c2,c3,c4,c5,c6,c7",1.0E-7 F, 6, 500, 478-6344-1-ND, 0.12000, 0.72, https://octopart.com/click/track?country=IN&ak=17001198&sig=0b34802&sid=459&ppid=18078370&vpid=34764829&ct=offers, Digi-Key
8,"z0603c241asmst",Kemet,"f1",240 ohm, 1, 3960, 80-Z0603C241ASMST, 0.23000, 0.23, https://octopart.com/click/track?country=IN&ak=17001198&sig=07a3e59&sid=2401&ppid=7189478&vpid=37681534&ct=offers, Mouser
9,"GRM188R6YA475KE15D",Murata,"c8",4.7E-6 F, 1, 976930, 490-7205-6-ND, 0.37000, 0.37, https://octopart.com/click/track?country=IN&ak=17001198&sig=0767ac1&sid=459&ppid=26982329&vpid=68513478&ct=offers, Digi-Key
10,"06031C222KAZ2A",Avx,"c9,c10",2.2E-9 F, 2, 4000, 06031C222KAZ2A**MULT1, 0.21600, 0.432, https://octopart.com/click/track?country=IN&ak=17001198&sig=0d4576f&sid=1106&ppid=8602855&vpid=416786201&ct=offers, Arrow
11,"06035C103K4Z2A",Avx,"c11",1.0E-8 F, 1, 54256, 581-06035C103K4Z2A, 0.22000, 0.22, https://octopart.com/click/track?country=IN&ak=17001198&sig=097f17b&sid=2401&ppid=9079594&vpid=37780132&ct=offers, Mouser
12,"C0402C100K3GACTU",Kemet,"c13,c14,c15,c16",1.0E-11 F, 4, 12, C0402C100K3GACTU**MULT1, 0.22170, 0.8868, https://octopart.com/click/track?country=IN&ak=17001198&sig=0802a75&sid=1106&ppid=9143701&vpid=274027547&ct=offers, Arrow
